question;answer
What percentage of Americans believe the Earth is less than 10000 years old?;38%
Which football club has won the most (top tier) league titles in the world?;Rangers FC, who have won the Scottish top tier league 54 times.
How many pints of beer does the average Indian adult drink per year?;3.5 pints
True or false, more than 50% of NASA scientists are autistic?;False, despite being a widely quoted fact, a NASA spokesman has confirmed that this is not true.
When George VI dead, Queen Elizabeth II (his daughter) was not proclaimed Queen for 24 hours - why?;They needed time to check if his wife (now known as the Queen Mother) was pregnant at the time of his death, because the King's unborn son would have taken precedence over Elizabeth, his daughter.
In feet and inches, what is the height of the average Chinese man?;5 feet and 7 inches
In May 1940, what percentage of the British public thought that Germany would be victorious in World War II?;A Gallup poll found that only 3% of the British public thought Britain would lose the war to Germany, largely due to the propaganda efforts of the British Government which aimed to shore up morale.
How many white keys are there on a standard piano keyboard?;52
What percentage of American adults are overweight?;71%
What did Samuel Pepys bury in his garden to protect during the Great Fire of London: A) his typewriter, B) a block of parmesan cheese, C) his jewellery box, or D) his wig?;B) A block of parmesan cheese
How many litres of water flow from the river Amazon into the ocean every second?;209 million litres, which is 3,400 times more than the River Severn, and is enough to fill more than 80 Olympic sized swimming pools per second.
What percentage of Brits aged 16-18 have never drunk alcohol?;23%
At what age did actor Robert Downey Jr. first take illegal drugs?;Six. His father (actor and director Robert Downey Sr.) regularly took drugs with him from this point, and he became addicted to marijuana by the age of eight.
What was the winning time in the 100 m final, in the first modern Olympic Games In 1896?;12.0 seconds, 25% slower than Usain Bolt's Olympic record.
Which country has more than half of the world's Boy Scouts: A) UK, B) Indonesia, C) Peru, or D) USA?;B) Indonesia, which has 17 million Boy Scouts, The Government brought in a law forcing all schoolboys to join the Scouts, in an attempt at spreading unity in a country with over 13,000 islands, and over 300 different tribal groups.
What percentage of British women say that they are a feminist?;34%
The Romans were pioneers of tourism. If an occupant of Londinium (now called London) in the Roman period, wished to travel to Malacca (now called Malaga) in the south of Spain, how long would the journey have taken?;The journey, mostly by sea, would have taken 24 days and cost approximately 606 denarii, roughly equal to a year's salary for a foot soldier
Which country contains the three snowiest cities in the world?;Japan
What is the most common method of execution in the world?;Hanging, followed by shooting in second Place.
Prior to the Covid-19 pandemic, Berney Arms in Norfolk was the least used train station in the UK. How many passengers used it per year?;Only 42 passengers, meaning it averaged less than one passenger per week.
Other than carbon dioxide, what is required for a drink to be fizzy?;Dirt. Small particles of dust or dirt which are present in the glass act as nucleation centres, around which the bubbles form. In a perfectly clean glass the carbon dioxide would evaporate invisibly.
How many bricks are there in the average house?;5180
What percentage of adults in Niger can read and write?;19%
How far does the average Brit drive in a year?;7,900 miles
Which of these animals has the highest top speed: A) greyhound, B) horse, C) camel, D) ostrich, or E) eagle?;E) The golden eagle has a top speed of up to 200 miles per hour, several times faster than a greyhound, horse, camel or ostrich which have top speeds of around 50-60 miles per hour.
How many sausage rolls does Greggs sell in the UK in an average week;2.5 million
What is the only mammal that can fly?;A bat
How many Google searches are made in an average day?;5.8 billion per day (65,000 searches every second)
What is the world record for the fastest time taken to eat three cream crackers?;34.8 seconds
